titre,prix,surface,nb_pieces,nb_chambres,ville,code_postal,adresse,quartier,type_bien,groupe_type,prix_m2,lien,description,photo_1,photo_2,photo_3,photo_4,photo_5
"Appartement à vendre - Toulon - 63 000 € - 1 pièce, 17 m²",63 000 €,17.0,1.0,,Toulon,83200,,Ouest Toulon,Appartement,Appartement,3 706 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/pont-du-las/262586677.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D10&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,iad France - Maxime Gomez vous propose: PRIMO ACCEDANT ou INVESTISSEUR Studio situé en dernier étage d'un immeuble à faibles. Ce studio intégralement rénové est prêt à accueillir un nouvel habitant! ...,https://mms.seloger.com/7/3/e/d/73ed1819-9897-4692-9d47-1b9fb7733235.jpg?ci_seal=4b813510e99728176e1918aa137db91031ef6b42&w=525&h=394,https://mms.seloger.com/0/c/d/c/0cdc0a44-bc0b-4ca3-b9d5-5991830b01c5.jpg?ci_seal=72f7dc55f920cc51d1165bc83fed45a7f161aac7&w=525&h=394,https://mms.seloger.com/1/4/b/0/14b06f51-d836-4ad4-b414-136af9047784.jpg?ci_seal=997fe9ceaeb8b8a27345c8d810b57211d7ca67c5&w=525&h=394,,
"Appartement en viager - Toulon - 70 600 € - 4 pièces, 2 chambres, 76 m², Étage 5/10",70 600 €,76.0,4.0,2.0,Toulon,83000,(),Centre / Littoral,Appartement,Appartement,929 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/261665493.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D15&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,"Au cinquième étage de la résidence de standing LE PELICAN, A.M.V. est fier de vous présenter en EXCLUSIVITÉ un vaste appartement de type T4, réorganisé avec deux belles chambres, et un salon qui en a...",https://mms.seloger.com/8/f/f/6/8ff60636-bd01-425b-8f53-428c08a23864.jpg?ci_seal=7599ed59374acc8722bf6c21e2d20cf0abde18e6&w=525&h=394,https://mms.seloger.com/3/4/1/f/341f4bca-06f5-41a2-a22d-34586d867712.jpg?ci_seal=6b532762fcde0bc0e7c5115e95abd8175d0cc499&w=525&h=394,https://mms.seloger.com/3/f/e/9/3fe99361-a0f4-4db3-86e4-c59bf8c19b82.jpg?ci_seal=f33837c8f43d3033796abc3ab63959f47880e746&w=525&h=394,,
"Appartement en viager - Toulon - Bouquet 72 500 € - 3 pièces, 2 chambres, 67,5 m², Étage 4/5",72 500 €,67.5,3.0,2.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,1 074 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/place-d-armes/259444057.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D4&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,"Réf. 10 011 - VIAGER OCCUPE - TOULON PROCHE BOULEVARD MARECHAL JOFFRE Dans un quartier calme avec commerces et supermarché à proximité, un APPARTEMENT de 3/4 PIECES traversant situé au 4ème étage (su...",https://mms.seloger.com/b/d/f/7/bdf72a8f-9c4f-4b0d-8073-e895856a4f0f.jpg?ci_seal=c7c5c6cba011d5d76893d13ba84d9e7ffbd309df&w=525&h=394,https://mms.seloger.com/a/1/6/6/a166c697-9201-4d60-93dc-75c3c99c3a61.jpg?ci_seal=fbbd2404e24d23daaf09abc093795a7bee10e742&w=525&h=394,https://mms.seloger.com/f/e/7/9/fe79f278-f13f-4582-8fd6-be0b81f1658c.jpg?ci_seal=69d1f36a6ce2945f0e81db0285e191cfdb001bbd&w=525&h=394,,
"Appartement à vendre - Toulon - 89 900 € - 1 pièce, 28,4 m², RDC",89 900 €,28.4,1.0,,Toulon,83200,(),Ouest Toulon,Appartement,Appartement,3 166 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/258921001.htm,"T1 TOULON OUEST - Appartement avec balcon 28m² - Ascenseur - cave + parking fermé - COMMERCES À PIED Dans le quartier dynamique du Pont du Las à Toulon, le bien dispose d'un parking privé et fermé, c...",https://mms.seloger.com/e/6/7/b/e67bde8a-61b4-47c6-989e-92e370189955.jpg?ci_seal=49a5ce5b3d3590bb6e370ae31d36e70ddb4b42be&w=626&h=470,https://mms.seloger.com/a/a/1/6/aa1603c9-2fa8-4a91-951d-8e0323e39b1a.jpg?ci_seal=0bb5f939a1fdd3c5053879d27e18b79094841eb9&w=626&h=470,https://mms.seloger.com/5/2/d/a/52dabc4d-72f9-47e9-8552-6452c7307cf3.jpg?ci_seal=49043cddb9bfd52790cb569b858508802508d98f&w=626&h=470,https://mms.seloger.com/c/9/1/d/c91dddcc-3b08-42ba-91f7-e110675c4c83.jpg?ci_seal=728139196842008419a00933baa98941f887377d&w=626&h=470,https://mms.seloger.com/9/f/d/f/9fdf728f-d42e-4937-93ee-40b3a5dc7798.jpg?ci_seal=c46acfbe7dccb14f34e9d31b515320436543480c&w=626&h=470
"Appartement à vendre - Toulon - 91 000 € - 1 pièce, 30 m², 2ème étage",91 000 €,30.0,1.0,,Toulon,83200,(),Ouest Toulon,Appartement,Appartement,3 033 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/261346303.htm,"Situé dans le secteur Lyautey à Toulon, ce T1 se trouve au 2 € étage d'un immeuble bien implanté, à proximité des commerces, des transports et des principaux axes de circulation. Il se compose d'une ...",https://mms.seloger.com/7/f/3/9/7f39fc74-63d8-40c5-b3f1-ed4d60fb1eed.jpg?ci_seal=985a5295eeff9dcc3a753bb0e766bfa528c53076&w=525&h=394,https://mms.seloger.com/5/6/a/5/56a54cbc-d445-49d1-bfb9-8c31e1412ea2.jpg?ci_seal=9a4f4b96daa058709d8c9648f38de174b6b062f5&w=525&h=394,https://mms.seloger.com/0/7/f/4/07f4ddff-8224-4827-a1be-1411c6303163.jpg?ci_seal=03fe09bd287e492e8b8d88498ac858cffc941f07&w=525&h=394,,
"Appartement à vendre - Toulon - 92 000 € - 3 pièces, 2 chambres, 45,4 m², Étage 2/3",92 000 €,45.4,3.0,2.0,Toulon,83100,,Est Toulon,Appartement,Appartement,2 026 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/261346301.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D4&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,"Situé sur le secteur recherché de Saint Jean, découvrez cet appartement T3 de 45 m², situé au 1er étage d’un immeuble. Il se compose d’une entrée, d’un séjour lumineux, d’une cuisine indépendante, de...",https://mms.seloger.com/3/1/5/8/315813ea-511e-4726-a65b-31abfaa7b585.jpg?ci_seal=e4546a8dffb5bbdabfb4db4304d77f1649ce81ef&w=525&h=394,https://mms.seloger.com/5/2/4/2/5242c2fc-6a13-43b6-8903-f1ff320eb402.jpg?ci_seal=0b45cb91de994f90f35ef5480d04d0af48e28d6d&w=525&h=394,https://mms.seloger.com/c/7/2/8/c7285f61-2885-4294-94d5-01cc94306097.jpg?ci_seal=1fb3096e14f85c93dff90ba8ccce073a0984cd98&w=525&h=394,,
"Appartement à vendre - Toulon - 92 000 € - 3 pièces, 2 chambres, 57 m², 1er étage",92 000 €,57.0,3.0,2.0,Toulon,83200,,Ouest Toulon,Appartement,Appartement,1 614 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/pont-du-las/261992567.htm,"83200 – TOULON – PONT DU LAS – 3 PIÈCES – 2 CHAMBRES – 57 m² effiCity, l'agence qui estime votre bien en ligne, vous propose cet appartement de 57 m² situé au 1er étage d'un immeuble ancien, dans le ...",https://mms.seloger.com/5/0/3/b/503b2a1f-5cb9-4a9d-ba28-3ad36b5a00c0.jpg?ci_seal=30d0531cfd834a850e85bae62e9ba5dbd6450f49&w=525&h=394,https://mms.seloger.com/a/4/8/d/a48d4d10-fee1-470d-b404-c92117c43799.jpg?ci_seal=3f3eb72c8bcc52bad5e196f2f66dfaeec5767fc6&w=525&h=394,https://mms.seloger.com/7/f/b/b/7fbb4f14-1300-4721-9f0a-effb5b7c6d50.jpg?ci_seal=a52cefb248ccffe3cc270e3043efabd42957d4ea&w=525&h=394,,
"Appartement à vendre - Toulon - 95 000 € - 1 pièce, 27 m², 1er étage",95 000 €,27.0,1.0,,Toulon,83000,,Centre / Littoral,Appartement,Appartement,3 518 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/256438387.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000&sort_order_ab_test=sort_order_reference&feature_aiEnrichment=false#ln=classified_search_results&m=classified_search_results_classified_classified_detail_XL,"EXCLUSIVITE - Dans un immeuble très bien entretenu, situé entre le port marchand et le mourillon, beau studio de 27m2 rénové il y a un an. Une grande pièce à vivre de 21m2 orienté SUD avec coin cuisi...",https://mms.seloger.com/4/d/0/2/4d024cba-a24c-4f3f-892e-02ca31197576.jpg?ci_seal=6a729a0186b490190fa21553d3b11e1073f43f18&w=626&h=470,https://mms.seloger.com/9/c/6/2/9c62139a-c4c3-42e9-85a5-4f7e83cf5631.jpg?ci_seal=b6f5e00b37730d5920e89e43bfbaa326a2da5c5d&w=626&h=470,https://mms.seloger.com/7/b/5/b/7b5b5468-3c41-4306-a585-92bca8d9a350.jpg?ci_seal=54e332c03ae66046d00c4fa32e1c53da7021dc71&w=626&h=470,https://mms.seloger.com/9/6/c/2/96c25343-6c07-4f9a-9115-e17e3358344a.jpg?ci_seal=d1cdd2e6ebc8fd5064856a8e532c5202e4d4ef99&w=626&h=470,https://mms.seloger.com/8/2/4/a/824afb0f-8d57-4ffe-9886-1e3187a3d1bc.jpg?ci_seal=ece32f48826539160033455487b606eb9b82f844&w=626&h=470
"Appartement à vendre - Toulon - 95 000 € - 1 pièce, 25 m², Étage 1/1",95 000 €,25.0,1.0,,Toulon,83200,"Rodeilhac, ()",Ouest Toulon,Appartement,Appartement,3 800 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/rodeilhac/262384439.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD08FR34378%26priceMax%3D500000%26page%3D15&sort_order_ab_test=sort_order_variant&feature_aiEnrichment=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,iad France - Nicolas TERRE vous propose: NOUVEAUTE Toulon Ouest / BEAU STUDIO RENOVE En recherche d'une belle opportunité sans travaux et à rentabilité ? ou encore d'un chaleureux pied à terre Toulon...,https://mms.seloger.com/c/9/7/f/c97fc1f3-ef25-4662-895e-a86992742b29.jpg?ci_seal=8339336e442308271d3bb8712e31b622fa79c590&h=50,https://mms.seloger.com/1/1/2/e/112e22d8-28bb-4876-816a-14d6134b33cf.jpg?ci_seal=e7620af096bf4b90b712020f9fd8554956a5992b&w=525&h=394,https://mms.seloger.com/b/6/a/1/b6a1a58f-66f3-40c6-a9d1-4faf462c5bd6.jpg?ci_seal=0091e26bb3c09c1fd1bd9b6f161b3064351e4346&w=525&h=394,https://mms.seloger.com/7/4/3/0/743020ad-9b9d-4d69-930f-55cc8d5f76a8.jpg?ci_seal=5b3f973179d9a808c9737ccb5cbcdfb418224330&w=525&h=394,
"Appartement à vendre - Toulon - 96 000 € - 1 pièce, 24 m², Étage 7/7",96 000 €,24.0,1.0,,Toulon,83100,,Est Toulon,Appartement,Appartement,4 000 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262642253.htm,"iad France - Ségolène Lorthioir vous propose: Studio meublé idéalement situé à Toulon, rénové, au 7ème et dernier étage avec ascenseur, vue sur le Faron. Cet appartement de 24m² est idéal pour les ét...",https://mms.seloger.com/f/4/8/4/f4844698-b5d6-4320-b189-1090ec4f3e06.jpg?ci_seal=2c21dbdde46c27e9e8424ffb9356c967bf3f24f8&w=525&h=394,https://mms.seloger.com/0/d/2/5/0d250f3b-582a-4ea5-9751-f090a5753f0e.jpg?ci_seal=6cc222cd24e480abd91f578089c1a17de0df9d30&w=525&h=394,https://mms.seloger.com/5/5/b/b/55bb9561-bc0f-44ef-99ca-4d4967b6cd8d.jpg?ci_seal=c2c86a71f46b87027d28ffdd217fa7fcdfb51981&w=525&h=394,,
"Appartement à vendre - Toulon - 99 000 € - 2 pièces, 1 chambre, 41 m², Étage 2/18",99 000 €,41.0,2.0,1.0,Toulon,83000,(),Centre / Littoral,Appartement,Appartement,2 415 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/260084799.htm,"À vendre à TOULON, appartement type 2 d'une superficie de 41 m² situé au 2 € étage avec ascenseur, à seulement 2 minutes à pied de la gare SNCF. Entièrement repeint, ce logement offre un cadre agréab...",https://mms.seloger.com/6/4/3/d/643da324-6385-4d71-9879-a9c61f2d079f.jpg?ci_seal=2dd4181007a8aecae55d000d73aaf7635a6faade&w=626&h=470,https://mms.seloger.com/e/e/e/f/eeef135f-6a81-49eb-aa12-1eeac50fe649.jpg?ci_seal=7d3c1311d1839a8e044b24a0bba59d4951c04d42&w=626&h=470,https://mms.seloger.com/8/6/3/c/863ccdea-d713-4bee-9057-0d9800a7ec35.jpg?ci_seal=d793c9a47a9e6a6ee96629ccef2209a902a13433&w=626&h=470,https://mms.seloger.com/0/e/a/7/0ea7557b-e3a5-45b3-a16a-9549ee2a5970.jpg?ci_seal=048862f0dea22aec4fdf3236fa4966e6c484f5ab&w=626&h=470,https://mms.seloger.com/b/8/7/a/b87aa2ca-042b-4e62-8dbe-68671873490d.jpg?ci_seal=c8d8420b4b0393fa99133ad961e289f7bc049b47&w=626&h=470
"Appartement à vendre - Toulon - 102 800 € - 2 pièces, 1 chambre, 40,3 m², RDC",102 800 €,40.3,2.0,1.0,Toulon,83000,,Centre / Littoral,Appartement,Appartement,2 551 €,https://www.seloger.com/annonces/achat/appartement/toulon-83/262085531.htm,"EN EXCLUSIVITÉ TOULON-EST : Rez-de-chaussée aux beaux volumes, proche commodités Idéalement situé en rez-de-chaussée, ce bien offre de beaux espaces et une distribution agréable, à proximité immédiat...",https://mms.seloger.com/9/e/1/9/9e19b106-c5f7-4b38-8a3f-724917b4315d.jpg?ci_seal=7909d2e98971df576e0af8f1eaf1837e8d5124e8&w=525&h=394,https://mms.seloger.com/3/9/7/0/3970c62e-b222-4075-831b-b38e98264963.jpg?ci_seal=9cd8099c948f4cb4c7f570df2fd69a605fcac724&w=525&h=394,https://mms.seloger.com/0/a/0/7/0a078809-9b6f-4c50-a67b-b36c02ccd0d5.jpg?ci_seal=721542f49261cd97cc6f3dbeb56efc0c13ee34da&w=525&h=394,,
