date_mutation,commune,code_postal,zone_toulon,numero_voie,type_voie,voie,adresse_complete,type_local,nombre_pieces,surface_reelle_bati,valeur_fonciere,prix_m2
05/01/2023,TOULON,83200,Ouest Toulon,289,CHE,DE PLAISANCE,289 CHE DE PLAISANCE,Appartement,4.0,81.0,208000.0,2567.9
05/01/2023,TOULON,83000,Centre / Littoral,383,RUE,JEAN JAURES,383 RUE JEAN JAURES,Appartement,1.0,18.0,77500.0,4305.56
04/01/2023,TOULON,83100,Est Toulon,22,BD,LEON BOURGEOIS,22 BD LEON BOURGEOIS,Appartement,2.0,40.0,91870.0,2296.75
03/01/2023,TOULON,83000,Centre / Littoral,7,RUE,DANES DE MARLY,7 RUE DANES DE MARLY,Appartement,2.0,48.0,139000.0,2895.83
06/01/2023,TOULON,83000,Centre / Littoral,35,RUE,ESSELIER,35 RUE ESSELIER,Appartement,1.0,24.0,96180.0,4007.5
10/01/2023,TOULON,83000,Centre / Littoral,5,RUE,GIMELLI,5 RUE GIMELLI,Appartement,6.0,178.0,513350.0,2883.99
10/01/2023,TOULON,83000,Centre / Littoral,3,RUE,DE LA MARETTE,3 RUE DE LA MARETTE,Maison,4.0,108.0,416250.0,3854.17
03/01/2023,TOULON,83100,Est Toulon,158,AV,SGT GABRIEL JOURDAN,158 AV SGT GABRIEL JOURDAN,Appartement,4.0,64.0,106900.0,1670.31
09/01/2023,TOULON,83200,Ouest Toulon,15,RUE,MATHIEU,15 RUE MATHIEU,Appartement,4.0,65.0,153000.0,2353.85
05/01/2023,TOULON,83000,Centre / Littoral,9001,RUE,DES FRERES GAY,9001 RUE DES FRERES GAY,Appartement,3.0,84.0,285000.0,3392.86
04/01/2023,TOULON,83000,Centre / Littoral,274,AV,AMIRAL COLLET,274 AV AMIRAL COLLET,Appartement,3.0,55.0,90000.0,1636.36
13/01/2023,TOULON,83000,Centre / Littoral,26,RUE,MICHEL MUSCATELLI,26 RUE MICHEL MUSCATELLI,Appartement,2.0,70.0,396000.0,5657.14
03/01/2023,TOULON,83000,Centre / Littoral,231,RUE,JEAN JAURES,231 RUE JEAN JAURES,Appartement,2.0,43.0,127570.0,2966.74
06/01/2023,TOULON,83000,Centre / Littoral,6,RUE,DE POMET,6 RUE DE POMET,Appartement,2.0,33.0,65000.0,1969.7
17/01/2023,TOULON,83000,Centre / Littoral,156,RUE,LULLI,156 RUE LULLI,Appartement,3.0,61.0,135000.0,2213.11
10/01/2023,TOULON,83000,Centre / Littoral,12,RUE,CASTEL,12 RUE CASTEL,Maison,3.0,80.0,375000.0,4687.5
16/01/2023,TOULON,83100,Est Toulon,127,AV,ANDRE AMPERE,127 AV ANDRE AMPERE,Appartement,3.0,55.0,126000.0,2290.91
12/01/2023,TOULON,83200,Ouest Toulon,28,AV,DU LAS,28 AV DU LAS,Appartement,5.0,90.0,222200.0,2468.89
10/01/2023,TOULON,83000,Centre / Littoral,31,RUE,CASTILLON,31 RUE CASTILLON,Appartement,3.0,52.0,200000.0,3846.15
17/01/2023,TOULON,83000,Centre / Littoral,5,MTE,JULES VERNE,5 MTE JULES VERNE,Appartement,3.0,61.0,280000.0,4590.16
03/01/2023,TOULON,83200,Ouest Toulon,151,AV,GENERAL GOURAUD,151 AV GENERAL GOURAUD,Appartement,3.0,75.0,118250.0,1576.67
12/01/2023,TOULON,83000,Centre / Littoral,31,RUE,DARIUS MILHAUD,31 RUE DARIUS MILHAUD,Appartement,4.0,59.0,135000.0,2288.14
04/01/2023,TOULON,83100,Est Toulon,42,RUE,GENERAL MAURICE DAVID,42 RUE GENERAL MAURICE DAVID,Appartement,4.0,67.0,138000.0,2059.7
06/01/2023,TOULON,83100,Est Toulon,253,BD,MARECHAL JOFFRE,253 BD MARECHAL JOFFRE,Appartement,2.0,38.0,81000.0,2131.58
09/01/2023,TOULON,83000,Centre / Littoral,10,RUE,LAMARTINE,10 RUE LAMARTINE,Appartement,1.0,20.0,79000.0,3950.0
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,1.0,34.0,72375.0,2128.68
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,2.0,42.0,72375.0,1723.21
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,3.0,79.0,25000.0,316.46
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,3.0,71.0,59625.0,839.79
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,2.0,41.0,35200.0,858.54
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,3.0,71.0,57000.0,802.82
06/01/2023,TOULON,83200,Ouest Toulon,258,AV,DU 1ER BATAILLON CHOC,258 AV DU 1ER BATAILLON CHOC,Appartement,1.0,34.0,28800.0,847.06
12/01/2023,TOULON,83200,Ouest Toulon,32,RUE,JEAN BAPTISTE PASCALIS,32 RUE JEAN BAPTISTE PASCALIS,Appartement,1.0,20.0,63300.0,3165.0
09/01/2023,TOULON,83000,Centre / Littoral,330,RUE,JEAN PHILIPPE RAMEAU,330 RUE JEAN PHILIPPE RAMEAU,Appartement,4.0,82.0,219000.0,2670.73
09/01/2023,TOULON,83200,Ouest Toulon,272,AV,CLOVIS HUGUES,272 AV CLOVIS HUGUES,Maison,3.0,70.0,345000.0,4928.57
09/01/2023,TOULON,83000,Centre / Littoral,246,RUE,AMIRAL NOMY,246 RUE AMIRAL NOMY,Appartement,3.0,54.0,90000.0,1666.67
03/01/2023,TOULON,83000,Centre / Littoral,26,RUE,MIRABEAU,26 RUE MIRABEAU,Appartement,5.0,119.0,438000.0,3680.67
06/01/2023,TOULON,83000,Centre / Littoral,347,BD,DE LA MARTILLE,347 BD DE LA MARTILLE,Appartement,4.0,120.0,450000.0,3750.0
02/01/2023,TOULON,83200,Ouest Toulon,8,IMP,DES CAMELIAS,8 IMP DES CAMELIAS,Appartement,3.0,70.0,215397.0,3077.1
05/01/2023,TOULON,83000,Centre / Littoral,42,BD,DU DOCTEUR CUNEO,42 BD DU DOCTEUR CUNEO,Appartement,2.0,38.0,220000.0,5789.47
03/01/2023,TOULON,83000,Centre / Littoral,413,AV,JACQUES CARTIER,413 AV JACQUES CARTIER,Appartement,1.0,27.0,1700000.0,62962.96
03/01/2023,TOULON,83000,Centre / Littoral,413,AV,JACQUES CARTIER,413 AV JACQUES CARTIER,Appartement,5.0,202.0,1700000.0,8415.84
10/01/2023,TOULON,83000,Centre / Littoral,178,AV,PHILIPPE LEBON,178 AV PHILIPPE LEBON,Appartement,1.0,20.0,75000.0,3750.0
10/01/2023,TOULON,83000,Centre / Littoral,178,AV,PHILIPPE LEBON,178 AV PHILIPPE LEBON,Appartement,1.0,20.0,75000.0,3750.0
10/01/2023,TOULON,83000,Centre / Littoral,1,RUE,GUIOT,1 RUE GUIOT,Appartement,2.0,45.0,158000.0,3511.11
16/01/2023,TOULON,83100,Est Toulon,69,RUE,PIERRE BORIES,69 RUE PIERRE BORIES,Appartement,1.0,21.0,67175.0,3198.81
09/01/2023,TOULON,83200,Ouest Toulon,737,CHE,DE FORGENTIER,737 CHE DE FORGENTIER,Appartement,4.0,68.0,179000.0,2632.35
12/01/2023,TOULON,83000,Centre / Littoral,7,AV,PRE DES PECHEURS,7 AV PRE DES PECHEURS,Appartement,3.0,59.0,288200.0,4884.75
11/01/2023,TOULON,83100,Est Toulon,21,RUE,RICHELIEU,21 RUE RICHELIEU,Maison,3.0,60.0,273200.0,4553.33
12/01/2023,TOULON,83000,Centre / Littoral,107,CRS,LAFAYETTE,107 CRS LAFAYETTE,Appartement,2.0,45.0,53200.0,1182.22
